NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;18;M;3539301;1;;0;1;6591;6909;6851;7709;1;760;F;E;4;O
1,50E+11;2015;Gravataí;43;RS;;;;42;M;4209003;1;;1;1;6574;7053;5911;7323;1;760;A;A;3;D
1,50E+11;2015;Cariacica;32;ES;;;;26;F;2910727;1;;1;1;5907;6305;5453;6631;1;760;B;B;2;E
1,50E+11;2015;Alfenas;31;MG;;;;19;F;3101607;1;;0;1;5767;642;6378;6362;1;760;D;E;4;G
1,50E+11;2015;Recife;26;PE;;;;17;M;2611606;1;;0;1;5251;6129;5901;6088;1;760;E;D;3;G
1,50E+11;2015;Matipó;31;MG;;;;25;M;3304557;1;;0;1;568;6477;5391;5971;1;760;B;B;4;C
1,50E+11;2015;Avaré;35;SP;;;;22;M;3504503;1;;0;3;5497;6225;5889;5901;1;760;H;C;4;E
1,50E+11;2015;Cuiabá;51;MT;;;;27;M;2927408;1;;0;2;536;5781;5464;5544;1;760;B;D;3;C
1,50E+11;2015;Quixadá;23;CE;;;;23;M;2311306;1;;0;1;4331;6222;5519;5523;1;760;E;E;4;J
1,50E+11;2015;Araucária;41;PR;;;;24;F;4101804;1;;0;1;520;6078;5807;5275;1;760;C;C;2;B
1,50E+11;2015;Belo Horizonte;31;MG;;;;22;F;3106200;1;;0;3;4589;5626;5971;5042;1;760;C;E;4;F
1,50E+11;2015;Votuporanga;35;SP;;;;16;F;3550308;1;;0;1;5323;5575;5598;4866;1;760;F;F;3;N
1,50E+11;2015;São José dos Campos;35;SP;;;;32;F;2600807;1;;1;3;5561;6096;5638;4541;1;760;B;A;1;E
1,50E+11;2015;Campo Grande;50;MS;;;;25;F;5002704;1;;1;1;4312;5815;5646;4421;1;760;B;C;2;D
1,50E+11;2015;Bragança Paulista;35;SP;;;;18;M;3507605;1;;0;1;703;6921;663;8374;1;740;E;F;4;G
1,50E+11;2015;Recife;26;PE;;;;22;M;2611606;1;;0;1;5597;6816;5699;7973;1;740;F;F;4;Q
1,50E+11;2015;Engenheiro Coelho;35;SP;;;;21;M;1504208;1;;0;3;5969;7243;6153;7662;1;740;G;E;2;B
1,50E+11;2015;Itinga;31;MG;;;;18;F;3103405;1;;0;2;6478;6786;6153;7604;1;740;E;E;3;C
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;19;F;3304557;1;;0;1;6871;7203;6752;6604;1;740;G;E;3;G
1,50E+11;2015;Vitória;32;ES;;;;39;M;3119401;1;;0;1;5991;5597;5243;6361;1;740;F;E;4;K
1,50E+11;2015;João Pessoa;25;PB;;;;29;F;2504009;1;;0;3;5353;6673;5792;5646;1;740;E;E;3;C
1,50E+11;2015;Paulista;26;PE;;;;18;F;2611606;1;;0;3;5035;6334;5654;5507;1;740;D;E;2;B
1,50E+11;2015;Brasília;53;DF;;;;23;F;5300108;1;;0;3;438;530;5722;4669;1;740;E;G;1;C
1,50E+11;2015;Belo Horizonte;31;MG;;;;23;F;3106200;1;;0;3;4406;6079;5614;4307;1;740;C;D;7;H
