NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,60E+11;2016;Canavieiras;29;BA;;;;23;F;2906303;1;;0;1;4946;5712;5127;4467;1;460;E;E;2;B
1,60E+11;2016;São Paulo;35;SP;;;;25;M;2304251;1;;;3;6294;6143;496;6952;1;580;A;G;5;C
1,60E+11;2016;Campo Grande;50;MS;;;;18;F;2507507;1;;0;1;5761;6452;5844;6952;1;680;E;E;3;L
1,60E+11;2016;Curitiba;41;PR;;;;18;F;4106902;1;;0;1;4484;5839;509;5443;1;660;D;D;5;D
1,60E+11;2016;Goiânia;52;GO;;;;25;F;2105302;1;;0;3;4188;452;4233;4205;1;360;B;E;6;C
1,60E+11;2016;São Paulo;35;SP;;;;24;M;3550308;1;;2;3;3986;5502;4746;4283;1;340;F;E;6;D
1,60E+11;2016;Palhoça;42;SC;;;;23;M;4200903;1;;0;1;5061;5386;5431;5085;1;460;C;B;1;D
1,60E+11;2016;Fortaleza;23;CE;;;;18;F;;1;;1;3;5238;4987;5574;433;1;460;D;D;4;B
1,60E+11;2016;Brasília;53;DF;;;;21;M;5205406;1;;0;3;5887;6237;6107;7109;1;440;H;H;2;C
1,60E+11;2016;Cariacica;32;ES;;;;24;F;3205309;1;;0;1;4833;6282;5932;3343;1;500;H;C;3;C
1,60E+11;2016;Juazeiro do Norte;23;CE;;;;18;F;3552809;1;;0;3;4896;6612;5775;4907;1;800;D;C;3;B
1,60E+11;2016;Macapá;16;AP;;;;19;F;1600303;1;;0;3;5446;6086;5794;4774;1;640;F;F;4;I
1,60E+11;2016;Conselheiro Lafaiete;31;MG;;;;37;M;3118304;1;;0;1;6204;6621;6159;6749;1;820;F;E;4;N
1,60E+11;2016;Itaporanga;25;PB;;;;17;M;2507002;1;;0;3;690;6902;6143;850;1;920;E;D;4;H
1,60E+11;2016;Aurelino Leal;29;BA;;;;38;M;2902401;1;;1;2;4822;5149;4664;4679;1;500;B;A;2;C
1,60E+11;2016;João Câmara;24;RN;;;;18;M;2405801;1;;0;3;5596;5342;4567;557;1;480;C;C;7;C
1,60E+11;2016;Florânia;24;RN;;;;19;M;2403103;1;;0;3;6355;6549;6039;6354;1;740;D;G;4;E
1,60E+11;2016;Vitória da Conquista;29;BA;;;;19;M;2904001;1;;0;1;6142;5982;6366;6466;1;620;G;G;2;H
1,60E+11;2016;São Paulo;35;SP;;;;21;F;2615706;1;;0;1;7287;7435;6501;6914;1;780;E;F;4;G
1,60E+11;2016;Senador Guiomard;12;AC;;;;28;M;1200401;1;;0;3;6062;5918;5818;5063;1;680;C;E;5;G
1,60E+11;2016;Fortaleza;23;CE;;;;17;M;2304400;1;;0;2;4763;585;560;4733;1;580;E;D;3;C
1,60E+11;2016;Natal;24;RN;;;;23;F;2408102;1;;0;1;5776;5964;5725;5256;1;780;F;F;5;K
1,60E+11;2016;Mossoró;24;RN;;;;17;M;2408003;1;;0;3;413;4731;4521;4983;1;480;B;B;7;B
1,60E+11;2016;Toledo;41;PR;;;;25;F;4127700;1;;0;1;4422;5081;5345;4037;1;600;B;B;4;H
1,60E+11;2016;Bom Jesus dos Perdões;35;SP;;;;31;F;3143302;1;;1;1;4037;5279;5303;4644;1;620;A;B;4;D
1,60E+11;2016;Diadema;35;SP;;;;24;M;3550308;1;;0;2;560;611;6221;670;1;700;E;C;5;F
1,60E+11;2016;Belo Horizonte;31;MG;;;;19;F;3106200;1;;0;1;4101;6007;5292;4428;1;680;H;D;2;F
1,60E+11;2016;Brasília;53;DF;;;;25;M;5300108;1;;0;3;6206;5813;6178;5934;1;500;E;E;5;J
1,60E+11;2016;Aracaju;28;SE;;;;34;F;2906006;1;;0;3;4257;5865;5182;377;1;520;E;B;1;C
1,60E+11;2016;Leopoldina;31;MG;;;;19;M;3136702;1;;0;1;6049;6524;6386;780;1;640;C;D;4;D
1,60E+11;2016;Curitiba;41;PR;;;;24;F;4106902;1;;0;1;4638;3862;5442;4964;1;420;D;B;6;D
1,60E+11;2016;Lavras;31;MG;;;;21;F;3303609;1;;0;1;495;5924;5277;4744;1;680;G;G;4;O
1,60E+11;2016;Rio de Janeiro;33;RJ;;;;33;F;3304557;1;;0;3;5874;6665;6592;551;1;560;E;E;3;D
1,60E+11;2016;São Paulo;35;SP;;;;21;F;3550308;1;;0;4;5526;6345;572;534;1;920;H;B;2;D
1,60E+11;2016;São Paulo;35;SP;;;;22;M;3513801;1;;0;1;5952;6261;5433;526;1;520;E;E;3;D
1,60E+11;2016;Itatiba;35;SP;;;;27;F;3523404;1;;2;1;5032;5741;599;6359;1;720;H;E;2;D
1,60E+11;2016;Belém;15;PA;;;;29;F;1501402;1;;;1;5641;6034;5912;4852;1;580;H;F;3;I
1,60E+11;2016;Tucuruí;15;PA;;;;32;F;1508100;1;;1;2;4364;4458;4796;4189;1;380;B;D;3;D
1,60E+11;2016;São Domingos;28;SE;2;1;1;24;M;2802908;2;1;0;3;4461;5442;5005;5993;1;580;A;A;6;B
1,60E+11;2016;Recife;26;PE;2;1;1;30;F;2609600;2;1;1;3;6114;6026;6125;5586;1;860;B;E;5;B
1,60E+11;2016;Valparaíso de Goiás;52;GO;2;1;1;17;F;5212501;2;1;0;3;4206;5218;5454;4734;1;540;E;E;4;G
1,60E+11;2016;Porto Alegre;43;RS;2;1;1;18;F;4314902;2;1;0;1;416;4991;4694;4826;1;600;D;C;3;C
1,60E+11;2016;Guaraciaba;42;SC;2;1;1;18;F;4206405;2;1;0;3;4252;5469;4404;3498;1;760;D;D;4;D
1,60E+11;2016;Joinville;42;SC;2;1;1;18;F;4209102;2;1;0;1;4719;6064;6171;4847;1;680;D;C;6;G
1,60E+11;2016;Uberlândia;31;MG;2;1;1;17;F;3170206;2;1;0;3;5292;5755;5666;3492;1;840;E;E;4;E
1,60E+11;2016;Salvador;29;BA;2;1;1;18;F;2927408;2;1;0;1;4461;6223;5922;4683;1;580;B;E;3;B
1,60E+11;2016;Aparecida;35;SP;2;1;1;18;F;3502507;2;1;0;1;4204;4257;4261;4422;1;520;C;E;6;D
1,60E+11;2016;Chapecó;42;SC;2;1;1;16;M;4204202;2;1;0;1;5802;6119;584;6416;1;520;E;E;4;L
1,60E+11;2016;Aparecida;35;SP;2;1;1;17;M;3518404;2;1;0;1;6499;6602;6655;7711;1;900;E;F;3;G
1,60E+11;2016;Rio de Janeiro;33;RJ;2;1;1;17;F;3301702;2;1;0;3;5927;5288;5435;4932;1;640;E;D;3;C
1,60E+11;2016;Barueri;35;SP;2;1;1;17;M;3534401;2;1;0;1;3766;3838;4144;4522;1;520;A;B;5;D
1,60E+11;2016;São Lourenço da Mata;26;PE;2;1;1;18;M;2613701;2;1;0;1;4194;4197;5014;3385;1;560;B;B;4;C
1,60E+11;2016;Beberibe;23;CE;2;1;1;17;M;2303501;2;1;0;3;4822;5746;4347;5623;1;580;D;C;4;B
1,60E+11;2016;Belo Horizonte;31;MG;2;1;1;18;F;3118601;2;1;0;2;4092;5451;5615;4264;1;600;D;E;4;C
1,60E+11;2016;Salvador;29;BA;2;1;1;18;F;2927408;2;2;0;3;3839;4822;5757;5712;1;520;E;F;5;C
1,60E+11;2016;Paraibuna;35;SP;2;1;1;17;F;3549904;2;1;0;1;4682;5401;5129;4633;1;520;E;E;5;C
1,60E+11;2016;Castanhal;15;PA;2;1;1;17;F;1502400;2;1;0;3;5618;5958;5839;5632;1;740;D;D;3;C
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;2;4972;6009;5062;3792;1;380;B;D;3;D
1,60E+11;2016;Cascavel;41;PR;2;1;1;17;F;4104808;2;1;0;1;3722;5061;4812;4258;1;500;E;E;3;F
1,60E+11;2016;Salvador;29;BA;2;1;1;17;F;2927408;2;1;0;2;4096;5245;5484;446;1;680;B;C;3;C
1,60E+11;2016;Caiapônia;52;GO;2;1;1;17;F;5204409;2;1;0;0;4006;4185;5436;4507;1;560;E;B;4;D
1,60E+11;2016;Aparecida de Goiânia;52;GO;2;1;1;17;F;5201405;2;1;0;1;5394;5015;5842;4905;1;540;B;B;5;C
1,60E+11;2016;Chapadinha;21;MA;2;1;1;17;F;2103208;2;1;0;3;5112;6125;5517;3732;1;580;E;E;3;A
1,60E+11;2016;Porto Nacional;17;TO;2;1;1;17;F;4119905;2;1;0;1;6404;6825;6105;6615;1;640;E;G;5;Q
1,60E+11;2016;Curitiba;41;PR;2;1;1;18;F;4111100;2;3;0;1;5439;619;5552;672;1;560;E;E;3;F
1,60E+11;2016;Santo André;35;SP;2;1;1;17;F;3548708;2;1;0;3;477;5228;5503;4836;1;640;D;E;4;D
1,60E+11;2016;Laranja da Terra;32;ES;2;1;1;17;F;3147105;2;1;0;1;4575;5447;584;5805;1;460;C;C;3;C
1,60E+11;2016;Coxim;50;MS;2;1;1;18;F;3548807;2;1;0;1;4957;5903;5893;4956;1;720;H;E;3;B
1,60E+11;2016;Campinas;35;SP;2;1;1;17;F;3509502;2;1;0;3;4897;5774;5585;6136;1;620;C;B;3;E
1,60E+11;2016;Fortaleza;23;CE;2;1;1;18;M;2304400;2;1;0;3;5648;5949;4647;6101;1;560;D;D;5;C
1,60E+11;2016;Maricá;33;RJ;2;1;1;18;M;3303302;2;1;0;1;6191;6725;6796;7188;1;800;G;G;7;H
1,60E+11;2016;Brasília;53;DF;2;1;1;17;F;5300108;2;1;0;3;438;4801;5558;4968;1;580;B;D;5;H
1,60E+11;2016;Sant'Ana do Livramento;43;RS;2;1;1;17;F;4317103;2;1;0;1;5702;5765;570;3899;1;780;E;E;3;E
1,60E+11;2016;Patrocínio;31;MG;2;1;1;18;F;3148103;2;1;0;1;5575;603;4737;5636;1;660;E;D;4;F
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;3;5219;5925;6115;4759;1;560;E;E;4;C
1,60E+11;2016;Barueri;35;SP;3;1;1;17;F;3505708;2;1;0;1;6234;6958;6781;6509;1;720;F;F;2;E
1,60E+11;2016;Belo Horizonte;31;MG;2;1;1;18;F;3106200;2;1;0;3;5845;5947;482;6622;1;620;D;C;3;C
1,60E+11;2016;Salvador;29;BA;2;1;1;17;F;;2;1;0;2;5684;542;4143;4146;1;360;E;E;5;D
1,60E+11;2016;Recife;26;PE;2;1;1;18;F;2611606;2;1;0;2;526;5944;5829;4908;1;720;D;F;7;C
1,60E+11;2016;Placas;15;PA;2;1;1;17;F;4127106;2;1;0;3;5353;5877;5734;4991;1;560;H;E;5;C
1,60E+11;2016;Aracaju;28;SE;2;1;1;17;M;2800308;2;1;0;3;4283;5907;5084;5779;1;480;C;C;3;B
1,60E+11;2016;Bom Jardim;33;RJ;2;1;1;17;M;3303401;2;1;0;2;494;5427;5425;540;1;520;B;C;5;C
1,60E+11;2016;Santa Terezinha de Itaipu;41;PR;2;1;1;17;M;4108304;2;1;0;3;6056;6348;6564;5652;1;600;C;C;4;D
1,60E+11;2016;Santana de Parnaíba;35;SP;3;1;1;17;F;3550308;2;1;0;2;5636;6059;5562;5302;1;760;E;E;4;G
1,60E+11;2016;São Paulo;35;SP;2;1;1;18;F;;2;1;0;1;497;5706;5423;3953;1;640;C;C;6;D
1,60E+11;2016;Natal;24;RN;2;1;1;24;M;2408102;2;3;0;1;5179;4975;5149;6134;1;440;E;C;3;E
1,60E+11;2016;Ribeirão;26;PE;2;2;1;17;M;;2;1;0;2;4604;5091;4898;374;1;380;B;B;8;B
1,60E+11;2016;Natal;24;RN;2;1;1;18;F;2408102;2;1;0;3;5347;5543;5385;4542;1;640;E;E;4;D
1,60E+11;2016;Rio de Contas;29;BA;2;1;1;17;M;2919504;2;1;0;3;5217;566;5929;6054;1;620;C;E;5;D
1,60E+11;2016;Porto Alegre;43;RS;2;1;1;17;M;4314902;2;1;0;1;5571;5556;5302;4372;1;520;H;H;7;C
1,60E+11;2016;Brusque;42;SC;2;1;1;17;F;4202909;2;1;0;1;5126;5606;5376;5364;4;0;C;E;5;I
1,60E+11;2016;Palmas;17;TO;2;1;1;17;F;1721000;2;1;0;3;5588;5547;5929;6389;1;700;H;F;4;F
1,60E+11;2016;Nanuque;31;MG;2;1;1;18;F;3144300;2;1;0;3;4154;5149;4889;3899;1;560;D;E;7;B
1,60E+11;2016;Oriximiná;15;PA;2;1;1;20;M;1505304;2;1;0;1;4296;4259;4279;5065;1;520;E;D;5;B
1,60E+11;2016;Juazeiro;29;BA;2;1;1;17;F;2918407;2;1;0;3;5156;6407;5814;4236;1;600;B;B;5;B
1,60E+11;2016;Fortaleza;23;CE;2;1;1;19;M;2304400;2;1;0;3;4541;4143;5199;4807;1;360;A;B;5;B
1,60E+11;2016;Tauá;23;CE;2;1;1;17;M;3550308;2;1;0;3;3909;4788;381;372;1;580;A;B;4;B
1,60E+11;2016;Barreiras;29;BA;2;1;1;17;M;3550308;2;1;0;1;6548;6801;6459;6479;1;860;E;C;4;D
1,60E+11;2016;Vitória da Conquista;29;BA;2;1;1;18;M;2933307;2;1;0;3;429;5261;5459;5497;1;480;E;E;2;B
1,60E+11;2016;Marajá do Sena;21;MA;2;1;1;19;M;2108108;2;1;0;2;4281;5762;5453;4804;1;640;B;B;5;B
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;M;3550308;2;1;0;3;4105;5681;5221;4508;1;320;F;E;5;H
1,60E+11;2016;São João da Boa Vista;35;SP;2;1;1;17;F;3549102;2;1;0;1;4319;5573;4861;5346;1;540;D;D;4;C
1,60E+11;2016;Fortaleza;23;CE;2;1;1;17;F;2304400;2;1;0;2;4105;4662;4904;340;1;560;C;B;5;B
1,60E+11;2016;Vitória;32;ES;2;1;1;20;F;3205309;2;1;0;3;4352;5148;4255;3948;1;480;D;D;6;C
1,60E+11;2016;Fortaleza;23;CE;2;1;1;18;F;2304400;2;1;0;2;4514;4946;470;4326;1;600;B;D;4;B
1,60E+11;2016;Nossa Senhora do Socorro;28;SE;2;1;1;17;M;2800308;2;1;0;3;467;5005;5084;3755;1;560;E;C;6;C
1,60E+11;2016;Belém;15;PA;2;1;1;17;F;1501402;2;1;0;3;4171;5002;4235;5663;1;520;B;E;3;B
1,60E+11;2016;São Paulo;35;SP;2;1;1;18;F;3550308;2;1;0;1;5635;7069;6062;4949;1;680;B;B;3;C
1,60E+11;2016;Campinas;35;SP;2;1;1;17;F;3509502;2;1;0;1;4915;5802;5688;426;1;400;B;B;6;H
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;1;4267;4301;4663;4893;1;440;E;F;3;C
1,60E+11;2016;Rio de Janeiro;33;RJ;2;1;1;18;F;3143302;2;1;0;3;4229;5561;5123;5685;1;700;D;E;3;C
1,60E+11;2016;Foz do Iguaçu;41;PR;2;1;1;27;F;3106200;2;3;0;3;4683;4508;5496;5056;1;560;C;C;1;C
1,60E+11;2016;Birigui;35;SP;2;1;1;18;M;3506508;2;1;0;3;5033;6258;6112;6854;1;560;D;D;3;F
1,60E+11;2016;Recife;26;PE;2;1;1;18;M;2611606;2;1;0;3;5852;569;5589;4879;1;600;B;E;3;C
1,60E+11;2016;Quirinópolis;52;GO;2;1;1;18;F;5218508;2;1;0;3;4049;4874;5516;5392;1;440;E;E;3;F
1,60E+11;2016;Toledo;41;PR;2;1;1;18;M;4127700;2;1;0;1;4949;5851;5831;6648;1;620;D;E;2;C
1,60E+11;2016;Limeira;35;SP;2;1;1;19;F;3526902;2;1;0;3;4924;5118;5042;4435;1;580;E;C;5;C
1,60E+11;2016;Sant'Ana do Livramento;43;RS;2;1;1;18;F;4317103;2;1;0;1;658;6927;6334;6838;1;960;E;D;4;G
1,60E+11;2016;Fortaleza;23;CE;2;1;1;17;F;2304400;2;1;0;3;4825;4808;4786;4619;1;540;B;C;7;C
1,60E+11;2016;São Paulo;35;SP;2;1;1;21;M;3548807;2;3;0;1;4433;5933;495;378;1;680;B;C;5;H
1,60E+11;2016;Campo Grande;50;MS;2;1;1;17;M;5002704;2;1;0;1;538;558;5323;5185;1;600;E;E;4;C
1,60E+11;2016;Rio do Sul;42;SC;2;1;1;16;F;4214805;2;1;0;1;4755;414;4594;5007;1;540;G;E;4;J
1,60E+11;2016;Uberaba;31;MG;2;1;1;17;F;3170107;2;1;0;1;5248;567;5259;6888;1;460;H;E;3;C
1,60E+11;2016;Granja;23;CE;2;1;1;19;M;2304707;2;1;0;3;5168;5559;5143;5123;1;540;B;C;5;B
1,60E+11;2016;Fortaleza;23;CE;2;1;1;18;F;2304400;2;1;0;1;5058;5753;6006;5178;1;760;E;C;5;C
1,60E+11;2016;Osasco;35;SP;2;1;1;17;M;3534401;2;3;0;1;4216;4486;4207;3915;1;560;B;C;3;C
1,60E+11;2016;Campos Novos;42;SC;2;1;1;17;F;4201000;2;1;0;1;5258;5527;4967;4629;1;580;E;F;1;I
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;3;5443;6188;5971;5373;1;940;B;D;3;E
1,60E+11;2016;Volta Redonda;33;RJ;2;1;1;23;F;3300407;2;3;1;1;4108;5892;5082;502;1;620;H;D;2;B
1,60E+11;2016;Santaluz;29;BA;2;1;1;16;M;2928000;2;1;0;1;4755;4828;4518;4041;1;460;H;E;6;C
1,60E+11;2016;Fortaleza;23;CE;2;1;1;19;M;2304400;2;1;0;3;5798;5986;5977;4392;1;640;B;F;4;B
1,60E+11;2016;Porto Alegre;43;RS;3;1;1;17;F;4314902;2;1;;3;4237;5722;5724;5621;1;580;E;E;3;B
1,60E+11;2016;Rio Espera;31;MG;2;1;1;17;M;3155207;2;1;0;3;528;4889;4639;5874;1;680;H;H;6;B
1,60E+11;2016;São Paulo;35;SP;2;1;1;22;F;2905206;2;1;0;3;4492;5906;5823;4595;1;580;C;C;6;G
1,60E+11;2016;Palmas;17;TO;2;1;1;19;M;1721000;2;1;0;3;4912;606;5971;482;1;500;D;B;7;E
1,60E+11;2016;Jequié;29;BA;2;1;1;17;F;2918001;2;1;0;2;5652;5925;5891;6073;1;700;E;E;5;C
1,60E+11;2016;Angra dos Reis;33;RJ;2;1;1;17;M;3306305;2;1;0;1;4777;5902;4802;4319;1;540;E;F;3;E
1,60E+11;2016;São Carlos;35;SP;2;1;1;18;F;3548906;2;1;0;1;5401;6234;6076;6515;1;620;E;E;3;F
1,60E+11;2016;Palmas;17;TO;2;1;1;18;M;1721000;2;1;0;3;4312;4685;5109;4382;1;460;E;E;4;C
1,60E+11;2016;Aparecida de Goiânia;52;GO;2;1;1;17;F;5208707;2;1;0;1;5497;4889;4178;4608;1;600;C;C;5;D
1,60E+11;2016;Abaré;29;BA;2;1;1;19;M;2900207;2;1;0;2;4837;556;4608;4068;1;560;A;B;12;B
1,60E+11;2016;Alvorada;43;RS;2;1;1;17;F;4314902;2;1;0;1;4731;5742;5806;4315;1;600;E;E;4;F
1,60E+11;2016;Florianópolis;42;SC;2;1;1;17;F;4304606;2;1;0;1;5902;6151;5835;5223;1;820;E;E;4;E
1,60E+11;2016;Brasília;53;DF;2;1;1;17;M;5300108;2;1;0;1;5943;6157;6215;6429;1;560;E;E;2;C
1,60E+11;2016;Belém;15;PA;2;1;1;17;F;1501402;2;1;0;3;4921;5367;527;4449;1;560;B;E;3;B
1,60E+11;2016;Montes Claros;31;MG;2;1;1;18;F;3143302;2;1;0;3;4839;5689;6228;5724;1;440;C;E;2;B
1,60E+11;2016;Curitiba;41;PR;1;1;1;18;F;4106902;2;1;0;1;7581;7301;672;7959;1;860;G;G;3;N
1,60E+11;2016;Vera Cruz;35;SP;2;2;1;17;M;3529005;2;1;0;4;4514;4671;4659;4343;1;480;F;E;3;D
1,60E+11;2016;Arujá;35;SP;2;1;1;17;M;3503901;2;1;0;2;4054;5789;5758;6604;1;520;F;F;3;C
1,60E+11;2016;Piracicaba;35;SP;2;1;1;17;M;3550308;2;1;0;2;6058;5563;5791;6519;1;560;C;A;4;F
1,60E+11;2016;São Paulo;35;SP;2;1;1;18;F;3550308;2;1;0;1;4263;5421;5305;4538;1;620;C;F;3;D
1,60E+11;2016;Palmas;17;TO;2;1;1;17;M;5208707;2;1;0;3;5458;5632;4682;6894;1;560;H;H;4;G
1,60E+11;2016;Macaé;33;RJ;2;1;1;17;F;3302403;2;1;0;1;5077;5727;5522;4984;1;600;E;F;4;B
1,60E+11;2016;Araruama;33;RJ;2;1;1;18;F;3300209;2;1;0;3;4773;5355;5344;6175;1;560;C;C;4;C
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;1;5572;5623;4918;5378;1;500;D;D;4;G
1,60E+11;2016;Curvelo;31;MG;2;1;1;18;M;3547809;2;3;0;3;4128;5102;5474;5813;1;600;F;E;7;F
1,60E+11;2016;Independência;23;CE;2;1;1;17;F;2305605;2;1;0;3;392;4882;4005;3472;1;380;C;C;4;B
1,60E+11;2016;Recife;26;PE;2;1;1;17;M;2611606;2;1;0;3;4357;4622;4387;3801;1;380;E;D;5;B
1,60E+11;2016;Aracaju;28;SE;2;1;1;20;F;;2;1;0;3;4223;4387;5116;4767;1;400;C;B;5;B
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3509502;2;1;0;1;5756;6196;6399;6904;1;680;F;F;5;Q
1,60E+11;2016;Salvador;29;BA;2;1;1;18;F;2927408;2;3;0;3;3984;4731;4774;3504;1;600;E;D;3;B
1,60E+11;2016;Rio de Janeiro;33;RJ;2;1;1;16;F;2304400;2;1;0;3;5965;6132;5742;6156;1;520;E;E;3;E
1,60E+11;2016;Mauá;35;SP;2;1;1;20;F;3550308;2;3;1;4;5134;5129;571;4732;1;480;E;E;7;E
1,60E+11;2016;Rio de Janeiro;33;RJ;2;1;1;19;F;3304557;2;1;0;1;4286;4988;5278;4813;1;620;E;G;3;I
1,60E+11;2016;Itapevi;35;SP;2;1;1;24;M;3505708;2;3;2;3;4827;5508;5044;5628;1;480;H;H;2;C
1,60E+11;2016;Porto Alegre;43;RS;2;1;1;17;F;4314902;2;1;0;1;3776;6131;5969;5183;1;600;B;D;5;C
1,60E+11;2016;São Luís;21;MA;2;1;1;18;M;2111300;2;1;0;1;6531;6719;6351;6992;1;860;E;F;5;D
1,60E+11;2016;Salvador;29;BA;2;1;1;20;F;2927408;2;1;0;1;5344;5003;4957;4886;1;560;E;G;2;E
1,60E+11;2016;Itaquaquecetuba;35;SP;2;1;1;17;F;3546801;2;1;0;3;4358;5306;5263;3949;1;560;E;F;5;H
1,60E+11;2016;Campinas;35;SP;2;1;1;17;F;3509502;2;1;0;3;4452;5565;5809;4741;1;640;E;E;5;G
1,60E+11;2016;Belo Horizonte;31;MG;1;1;1;18;M;3106200;2;1;0;2;4929;5688;5493;4433;1;680;G;E;4;F
1,60E+11;2016;Guarulhos;35;SP;2;1;1;17;F;3518800;2;1;0;3;4517;5133;5271;4872;1;580;A;C;3;B
1,60E+11;2016;São João de Meriti;33;RJ;2;1;1;17;F;3201209;2;1;0;1;5365;5857;5994;6146;1;560;E;E;4;E
1,60E+11;2016;Olaria;31;MG;2;1;1;18;F;3138609;2;1;0;3;4568;6217;5646;4435;1;800;D;D;4;D
1,60E+11;2016;Fortaleza;23;CE;2;1;1;17;F;2304400;2;1;0;3;446;5803;5271;5531;1;760;C;E;5;D
1,60E+11;2016;Barra do Piraí;33;RJ;2;1;1;17;F;3300308;2;1;0;2;4728;4308;3922;4697;1;620;B;E;3;B
1,60E+11;2016;Santo André;35;SP;2;1;1;18;F;3547809;2;1;0;1;4516;5704;5358;5484;1;480;E;E;6;I
1,60E+11;2016;Fortaleza;23;CE;2;1;1;18;F;2304400;2;1;0;3;4413;5248;4165;4953;1;520;C;B;5;B
1,60E+11;2016;Ponta Porã;50;MS;2;1;1;16;F;1100189;2;1;0;4;5129;5253;5951;7237;1;640;E;E;4;H
1,60E+11;2016;Carolina;21;MA;2;1;1;17;M;2102804;2;1;0;3;385;5786;5555;4851;1;380;E;G;5;E
1,60E+11;2016;Maracanaú;23;CE;2;1;1;17;M;3550308;2;1;0;3;5321;6248;551;4911;1;520;C;G;4;B
1,60E+11;2016;Ubá;31;MG;2;1;1;22;M;3169901;2;3;1;1;4375;4921;5307;4374;1;540;B;A;2;E
1,60E+11;2016;Santa Luzia;21;MA;2;1;1;17;F;2110005;2;1;0;3;4703;6072;4705;4861;1;800;F;B;5;E
1,60E+11;2016;Boa Vista;14;RR;1;1;1;17;F;1400100;2;1;0;3;6099;7185;6414;7046;1;700;F;E;3;G
1,60E+11;2016;Castanhal;15;PA;2;1;1;18;M;1502400;2;1;0;0;4564;5813;5702;5598;1;700;E;C;3;H
1,60E+11;2016;Rio de Janeiro;33;RJ;1;1;1;19;M;3304557;2;1;0;3;7165;6472;6351;7906;1;700;F;E;4;I
1,60E+11;2016;Fortaleza;23;CE;2;1;1;17;M;2304400;2;1;0;2;5778;5644;5524;5129;1;600;C;D;4;D
1,60E+11;2016;Aracaju;28;SE;2;1;1;17;F;2800308;2;1;0;3;5215;6233;5944;4277;1;600;E;E;2;C
1,60E+11;2016;Macaé;33;RJ;3;1;1;18;M;3300407;2;1;0;1;6946;6459;6146;8324;1;660;G;G;5;Q
1,60E+11;2016;Indaial;42;SC;2;1;1;17;F;4207502;2;1;0;1;5604;5906;584;5148;1;640;B;B;4;G
1,60E+11;2016;Caxias do Sul;43;RS;2;1;1;25;F;4305108;2;3;;1;4619;6155;552;604;1;440;C;E;3;E
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;M;3550308;2;1;0;1;4398;5594;5495;3882;1;460;H;E;2;C
1,60E+11;2016;Taboão da Serra;35;SP;2;1;1;18;F;3550308;2;1;0;1;4134;5212;5034;4342;1;560;D;C;5;C
1,60E+11;2016;Paiçandu;41;PR;2;1;1;18;M;4117503;2;1;0;1;3984;4335;4135;3995;1;360;B;E;2;C
1,60E+11;2016;Colombo;41;PR;2;1;1;17;F;4106902;2;1;;1;5136;6026;5544;3636;1;600;E;E;5;G
1,60E+11;2016;Macaé;33;RJ;2;1;1;17;F;2931350;2;1;0;1;551;648;6296;4413;1;600;E;B;5;E
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;F;3550308;2;1;0;3;4803;5892;5719;5187;1;580;E;E;4;F
1,60E+11;2016;Belém;15;PA;2;1;1;17;F;1501402;2;1;0;3;4448;5662;5906;4968;1;640;C;G;6;D
1,60E+11;2016;Fortaleza;23;CE;2;1;1;18;F;2304400;2;1;0;3;5024;6112;5858;6129;1;560;E;D;4;D
1,60E+11;2016;Rio de Janeiro;33;RJ;1;1;1;17;M;3303609;2;1;0;3;7412;7769;6189;8467;1;920;E;E;5;I
1,60E+11;2016;São Paulo;35;SP;2;1;1;17;M;3550308;2;1;0;1;4818;5341;5304;5753;1;420;C;E;3;C
1,60E+11;2016;Brasília;53;DF;2;1;1;19;M;5300108;2;1;0;3;4879;576;5202;5711;1;760;B;B;6;F
1,60E+11;2016;São José do Rio Preto;35;SP;2;1;1;17;M;3549805;2;1;0;2;5535;5838;4839;4332;1;400;C;D;6;C
1,60E+11;2016;Limeira;35;SP;2;1;1;17;F;3526902;2;1;0;1;4693;5878;5773;3562;1;520;D;E;3;E
1,60E+11;2016;Belo Horizonte;31;MG;2;1;1;19;F;3106200;2;1;0;1;5882;6111;6289;638;1;700;F;E;3;C
